,activity_type,date,title,distance,calories,avg_hr,max_hr,avg_speed,max_speed,total_ascent,total_descent,moving_time,elapsed_time,max_temp,min_temp,epoch
92,Cycling,2023-11-15 14:41:32,Urbandale Cycling,21.44,386,143,158,26.9,41.7,23,69,00:47:36,00:49:02,0.0,0.0,1700059292
93,Cycling,2023-11-15 05:50:58,Des Moines Cycling,21.2,390,144,168,26.1,39.6,76,39,00:48:13,00:48:46,0.0,0.0,1700027458
94,Virtual Cycling,2023-11-14 18:26:02,Zwift - Going Coastal in Watopia,16.73,278,--,--,34.2,48.6,63,--,00:29:17,00:29:18,0.0,0.0,1699986362
95,Cycling,2023-11-14 14:48:54,Urbandale Cycling,15.41,260,129,175,24.3,39.7,63,83,00:37:43,00:39:09,0.0,0.0,1699973334
96,Cycling,2023-11-14 05:40:57,Des Moines Cycling,18.32,392,152,174,24.3,37.7,142,98,00:44:39,00:46:02,0.0,0.0,1699940457
97,Virtual Cycling,2023-11-13 18:26:42,Zwift - Mech Isle Loop in Makuri Islands,4.18,82,--,--,28.6,49.5,41,--,00:08:40,00:08:44,0.0,0.0,1699900002
98,Virtual Cycling,2023-11-13 17:44:22,Zwift - Mighty Metropolitan in New York,20.22,412,--,--,29.1,74.6,325,--,00:41:40,00:41:43,0.0,0.0,1699897462
99,Cycling,2023-11-13 16:49:03,Johnston Cycling,16.23,331,150,169,25.7,33.7,27,35,00:37:41,00:38:21,0.0,0.0,1699894143
100,Cycling,2023-11-13 14:39:31,Urbandale Cycling,6.26,58,99,118,24.6,38.7,11,48,00:15:06,00:15:59,0.0,0.0,1699886371
101,Cycling,2023-11-13 06:08:45,Des Moines Cycling,21.52,387,139,162,24.0,36.6,76,200,00:53:29,00:54:29,0.0,0.0,1699855725
102,Cycling,2023-11-10 13:45:26,Des Moines Cycling,46.47,563,130,168,27.0,38.1,101,102,01:42:31,01:50:58,0.0,0.0,1699623926
103,Virtual Cycling,2023-11-09 18:54:28,Zwift - Ven-Top in France,14.04,744,--,--,9.7,38.6,"1,044",--,01:26:26,01:26:52,0.0,0.0,1699556068
104,Cycling,2023-11-09 17:11:07,Johnston Cycling,20.08,310,137,156,26.4,38.7,25,53,00:45:21,00:47:39,0.0,0.0,1699549867
105,Cycling,2023-11-09 15:04:39,Urbandale Cycling,3.84,62,129,157,26.3,36.5,12,30,00:08:34,00:09:30.3,0.0,0.0,1699542279
106,Cycling,2023-11-09 05:41:09,Des Moines Cycling,18.42,376,148,175,24.2,35.4,106,63,00:45:32,00:47:19,0.0,0.0,1699508469
107,Virtual Cycling,2023-11-08 17:49:24,Zwift - Two Bridges Loop in Watopia,7.37,129,--,--,29.8,61.7,80,--,00:14:48,00:14:49,0.0,0.0,1699465764
108,Virtual Cycling,2023-11-08 17:00:18,Zwift - R.G.V. in France,25.25,392,--,--,31.4,46.4,133,--,00:48:09,00:48:10,0.0,0.0,1699462818
109,Cycling,2023-11-08 15:38:54,Urbandale Cycling,21.61,321,136,159,27.5,39.2,38,84,00:46:59,00:48:43,0.0,0.0,1699457934
110,Cycling,2023-11-08 05:39:09,Des Moines Cycling,21.52,394,142,159,25.4,37.7,157,204,00:50:42,00:51:24,0.0,0.0,1699421949
111,Cycling,2023-11-07 15:00:09,Urbandale Cycling,21.73,340,133,150,24.6,38.8,34,80,00:52:47,00:54:27,0.0,0.0,1699369209
